race_id,season,race,date,driver,team,grid,position,points,status
2022_1,2022,Bahrain Grand Prix,2022-03-20,LEC,Ferrari,1.0,1.0,26.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,SAI,Ferrari,3.0,2.0,18.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,HAM,Mercedes,5.0,3.0,15.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,RUS,Mercedes,9.0,4.0,12.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,MAG,Haas F1 Team,7.0,5.0,10.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,BOT,Alfa Romeo,6.0,6.0,8.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,OCO,Alpine,11.0,7.0,6.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,TSU,AlphaTauri,16.0,8.0,4.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,ALO,Alpine,8.0,9.0,2.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,ZHO,Alfa Romeo,15.0,10.0,1.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,MSC,Haas F1 Team,12.0,11.0,0.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,STR,Aston Martin,19.0,12.0,0.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,ALB,Williams,14.0,13.0,0.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,RIC,McLaren,18.0,14.0,0.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,NOR,McLaren,13.0,15.0,0.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,LAT,Williams,20.0,16.0,0.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,HUL,Aston Martin,17.0,17.0,0.0,Finished
2022_1,2022,Bahrain Grand Prix,2022-03-20,PER,Red Bull Racing,4.0,18.0,0.0,Fuel pressure
2022_1,2022,Bahrain Grand Prix,2022-03-20,VER,Red Bull Racing,2.0,19.0,0.0,Fuel pressure
2022_1,2022,Bahrain Grand Prix,2022-03-20,GAS,AlphaTauri,10.0,20.0,0.0,Power Unit
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,VER,Red Bull Racing,4.0,1.0,25.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,LEC,Ferrari,2.0,2.0,19.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,SAI,Ferrari,3.0,3.0,15.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,PER,Red Bull Racing,1.0,4.0,12.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,RUS,Mercedes,6.0,5.0,10.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,OCO,Alpine,5.0,6.0,8.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,NOR,McLaren,11.0,7.0,6.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,GAS,AlphaTauri,9.0,8.0,4.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,MAG,Haas F1 Team,10.0,9.0,2.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,HAM,Mercedes,15.0,10.0,1.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,ZHO,Alfa Romeo,12.0,11.0,0.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,HUL,Aston Martin,17.0,12.0,0.0,Finished
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,STR,Aston Martin,13.0,13.0,0.0,+1 Lap
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,ALB,Williams,16.0,14.0,0.0,Collision damage
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,BOT,Alfa Romeo,8.0,15.0,0.0,Cooling system
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,ALO,Alpine,7.0,16.0,0.0,Water pump
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,RIC,McLaren,14.0,17.0,0.0,Gearbox
2022_2,2022,Saudi Arabian Grand Prix,2022-03-27,LAT,Williams,18.0,18.0,0.0,Accident
